Datum;ID_Omg;Vecka;M1-1;M1-X;M1-2;M2-1;M2-X;M2-2;M3-1;M3-X;M3-2;M4-1;M4-X;M4-2;M5-1;M5-X;M5-2;M6-1;M6-X;M6-2;M7-1;M7-X;M7-2;M8-1;M8-X;M8-2;M9-1;M9-X;M9-2;M10-1;M10-X;M10-2;M11-1;M11-X;M11-2;M12-1;M12-X;M12-2;M13-1;M13-X;M13-2;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;M13;13 rätt;12 rätt;11 rätt;10 rätt;Vinnare 13;Vinnare 12;Vinnare 11;Vinnare 10;Omsättning;JackPott_Milj;Correct_Row;True_Rank
2021-09-07;2093;36;72.0;17.0;11.0;55.0;25.0;20.0;71.0;18.0;11.0;23;27.0;50.0;74;16.0;10.0;56.0;25.0;19.0;86.0;10.0;4.0;39;32.0;29.0;63.0;23.0;14.0;26.0;31.0;43.0;18.0;27.0;55.0;9.0;16.0;75.0;35.0;29.0;36.0;1;1;1;X;1;2;1;1;X;1;X;2;X;24648;542;26;0;61.0;1564.0;17674;111530;5931131;;111X1211X1X2X;15822
2021-09-12;2094;36;22.0;23.0;55.0;48.0;25.0;27.0;59.0;22.0;19.0;45;28.0;27.0;45;26.0;29.0;43.0;29.0;28.0;56.0;25.0;19.0;42;29.0;29.0;20.0;26.0;54.0;72.0;17.0;11.0;29.0;30.0;41.0;35.0;28.0;37.0;47.0;25.0;28.0;2;1;1;2;1;1;1;2;2;1;2;2;X;4254;102;0;0;913.0;16078.0;114081;453436;11522450;3.5;211211122122X;910
2021-09-15;2095;37;65.0;19.0;16.0;39.0;28.0;33.0;74.0;16.0;10.0;59;26.0;15.0;33;27.0;40.0;12.0;18.0;70.0;40.0;28.0;32.0;25;27.0;48.0;45.0;28.0;27.0;33.0;30.0;37.0;37.0;30.0;33.0;52.0;27.0;21.0;57.0;24.0;19.0;1;2;1;X;2;X;X;2;1;2;X;X;2;717153;6069;265;71;7.0;209.0;2603;20117;8871504;5.0;121X2XX212XX2;259999
2021-09-19;2096;37;21.0;26.0;53.0;22.0;24.0;54.0;35.0;30.0;35.0;47;28.0;25.0;66;18.0;16.0;23.0;26.0;51.0;25.0;25.0;50.0;38;30.0;32.0;52.0;26.0;22.0;31.0;24.0;45.0;66.0;20.0;14.0;38.0;30.0;32.0;17.0;23.0;60.0;2;2;1;X;X;1;2;X;X;2;1;2;1;446715;7874;294;71;6.0;192.0;2802;23969;10573147;;221XX12XX2121;315223
2021-09-22;2097;38;68.0;20.0;12.0;62.0;23.0;15.0;22.0;26.0;52.0;36;29.0;35.0;76;16.0;8.0;31.0;26.0;43.0;33.0;27.0;40.0;45;27.0;28.0;43.0;27.0;30.0;49.0;29.0;22.0;63.0;22.0;15.0;34.0;28.0;38.0;34.0;27.0;39.0;X;2;2;X;1;2;2;1;2;1;1;X;1;101248;2267;117;35;16.0;403.0;4241;28902;6390457;;X22X1221211X1;92086
2021-09-26;2098;38;40.0;29.0;31.0;39.0;29.0;32.0;38.0;26.0;36.0;31;28.0;41.0;58;24.0;18.0;13.0;22.0;65.0;41.0;25.0;34.0;38;26.0;36.0;32.0;30.0;38.0;67.0;20.0;13.0;56.0;25.0;19.0;51.0;27.0;22.0;29.0;26.0;45.0;1;2;X;1;1;2;1;1;2;1;1;2;X;35920;930;49;16;80.0;1742.0;17929;109064;11335924;;12X112112112X;20767
2021-09-29;2099;39;64.0;21.0;15.0;27.0;29.0;44.0;63.0;21.0;16.0;33;27.0;40.0;68;18.0;14.0;46.0;24.0;30.0;38.0;27.0;35.0;42;30.0;28.0;36.0;30.0;34.0;45.0;28.0;27.0;34.0;29.0;37.0;39.0;28.0;33.0;41.0;29.0;30.0;1;1;1;1;1;1;X;1;1;1;1;1;X;18882;500;30;0;99.0;2107.0;18919;96062;7374102;;111111X11111X;6562
2021-10-03;2100;39;33.0;26.0;41.0;45.0;27.0;28.0;53.0;27.0;20.0;31;27.0;42.0;44;27.0;29.0;22.0;24.0;54.0;19.0;24.0;57.0;47;26.0;27.0;39.0;29.0;32.0;36.0;30.0;34.0;41.0;26.0;33.0;57.0;24.0;19.0;25.0;25.0;50.0;X;1;2;X;2;2;1;1;1;1;1;1;2;581489;5322;157;37;8.0;366.0;6747;59180;13623779;4.0;X12X221111112;127377
2021-10-08;2101;40;43.0;27.0;30.0;50.0;26.0;24.0;57.0;25.0;18.0;56;26.0;18.0;31;30.0;39.0;8.0;19.0;73.0;13.0;24.0;63.0;47;29.0;24.0;42.0;31.0;27.0;77.0;15.0;8.0;28.0;30.0;42.0;27.0;31.0;42.0;46.0;28.0;26.0;X;X;1;X;1;2;2;X;1;1;2;2;1;3101;110;0;0;473.0;7501.0;53742;219447;5786851;;XX1X122X11221;10913
2021-10-10;2102;40;32.0;29.0;39.0;41.0;28.0;31.0;55.0;26.0;19.0;26;27.0;47.0;48;27.0;25.0;26.0;28.0;46.0;37.0;29.0;34.0;70;17.0;13.0;21.0;22.0;57.0;29.0;27.0;44.0;57.0;24.0;19.0;42.0;28.0;30.0;43.0;27.0;30.0;2;1;1;X;1;1;1;1;1;X;2;1;2;398957;4722;207;55;8.0;215.0;2666;20953;7100288;3.0;211X11111X212;235434
